prefijo,porcentaje_a,archivo_a,porcentaje_b,archivo_b,dimension,distancia
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_5.csv,1,0.04848306
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_5.csv,2,0.010506699
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_1.csv,0,0.4136819
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_1.csv,1,0.07103173
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_1.csv,2,0.015350014
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_7.csv,0,0.4454546
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_7.csv,1,0.07652171
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_7.csv,2,0.015329845
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_6.csv,0,0.46787792
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_6.csv,1,0.08173511
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_6.csv,2,0.015299932
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_12.csv,0,0.4762682
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_12.csv,1,0.08042145
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_12.csv,2,0.015299874
MCEFL,80,persistencia_MCEFL_componente_2.csv,80,persistencia_MCEFL_componente_1.csv,0,0.3532761
MCEFL,80,persistencia_MCEFL_componente_2.csv,80,persistencia_MCEFL_componente_1.csv,1,0.06686419
MCEFL,80,persistencia_MCEFL_componente_2.csv,80,persistencia_MCEFL_componente_1.csv,2,0.015321025
MCEFL,80,persistencia_MCEFL_componente_2.csv,80,persistencia_MCEFL_componente_2.csv,0,2.4691385e-06
MCEFL,80,persistencia_MCEFL_componente_2.csv,80,persistencia_MCEFL_componente_2.csv,1,0.0
MCEFL,80,persistencia_MCEFL_componente_2.csv,80,persistencia_MCEFL_componente_2.csv,2,0.0
MCEFL,80,persistencia_MCEFL_componente_2.csv,80,persistencia_MCEFL_componente_3.csv,0,0.21757533
MCEFL,80,persistencia_MCEFL_componente_2.csv,80,persistencia_MCEFL_componente_3.csv,1,0.041480288
MCEFL,80,persistencia_MCEFL_componente_2.csv,80,persistencia_MCEFL_componente_3.csv,2,0.0010095853
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_10.csv,0,0.19899428
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_10.csv,1,0.041230433
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_1.csv,0,0.14684817
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_1.csv,1,0.036427543
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_1.csv,2,0.0009998827
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_2.csv,0,0.1320945
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_2.csv,1,0.05027516
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_2.csv,2,0.012878603
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_4.csv,0,0.11267935
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_4.csv,1,0.033373825
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_4.csv,2,0.0009710243
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_3.csv,0,0.18769169
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_3.csv,1,0.040621515
MCEFL,80,persistencia_MCEFL_componente_2.csv,90,persistencia_MCEFL_componente_3.csv,2,0.0009963098
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_5.csv,0,0.14622056
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_5.csv,1,0.04671148
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_5.csv,2,0.010146439
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_1.csv,0,0.11178144
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_1.csv,1,0.029437514
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_1.csv,2,0.0016234062
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_7.csv,0,0.16509373
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_7.csv,1,0.038401436
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_7.csv,2,0.0014225693
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_6.csv,0,0.20659097
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_6.csv,1,0.041460637
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_6.csv,2,0.0009999018
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_12.csv,0,0.22048517
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_12.csv,1,0.03880733
MCEFL,80,persistencia_MCEFL_componente_2.csv,100,persistencia_MCEFL_componente_12.csv,2,0.0010090544
MCEFL,80,persistencia_MCEFL_componente_3.csv,80,persistencia_MCEFL_componente_1.csv,0,0.47377643
MCEFL,80,persistencia_MCEFL_componente_3.csv,80,persistencia_MCEFL_componente_1.csv,1,0.08174312
MCEFL,80,persistencia_MCEFL_componente_3.csv,80,persistencia_MCEFL_componente_1.csv,2,0.01529986
MCEFL,80,persistencia_MCEFL_componente_3.csv,80,persistencia_MCEFL_componente_2.csv,0,0.21757533
MCEFL,80,persistencia_MCEFL_componente_3.csv,80,persistencia_MCEFL_componente_2.csv,1,0.041480288
MCEFL,80,persistencia_MCEFL_componente_3.csv,80,persistencia_MCEFL_componente_2.csv,2,0.0010095853
MCEFL,80,persistencia_MCEFL_componente_3.csv,80,persistencia_MCEFL_componente_3.csv,0,0.0
MCEFL,80,persistencia_MCEFL_componente_3.csv,80,persistencia_MCEFL_componente_3.csv,1,0.0
MCEFL,80,persistencia_MCEFL_componente_3.csv,80,persistencia_MCEFL_componente_3.csv,2,0.0
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_10.csv,0,0.047031347
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_10.csv,1,0.0028085622
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_1.csv,0,0.11968035
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_1.csv,1,0.014544773
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_1.csv,2,0.00014122379
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_2.csv,0,0.25817657
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_2.csv,1,0.059339177
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_2.csv,2,0.012861325
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_4.csv,0,0.1626409
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_4.csv,1,0.02700515
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_4.csv,2,0.0003059688
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_3.csv,0,0.066722214
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_3.csv,1,0.005231293
MCEFL,80,persistencia_MCEFL_componente_3.csv,90,persistencia_MCEFL_componente_3.csv,2,0.00016191605
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_5.csv,0,0.27957588
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_5.csv,1,0.065256365
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_5.csv,2,0.010098574
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_1.csv,0,0.15989523
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_1.csv,1,0.02628458
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_1.csv,2,0.0013272357
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_7.csv,0,0.10870721
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_7.csv,1,0.010573514
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_7.csv,2,0.0010191028
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_6.csv,0,0.03954143
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_6.csv,1,0.0015721008
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_6.csv,2,0.00010321933
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_12.csv,0,0.016956206
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_12.csv,1,0.009082926
MCEFL,80,persistencia_MCEFL_componente_3.csv,100,persistencia_MCEFL_componente_12.csv,2,2.7251293e-05
WIDSL,80,persistencia_WIDSL_componente_2.csv,80,persistencia_WIDSL_componente_2.csv,0,5.806319e-07
WIDSL,80,persistencia_WIDSL_componente_2.csv,80,persistencia_WIDSL_componente_2.csv,1,0.0
WIDSL,80,persistencia_WIDSL_componente_2.csv,80,persistencia_WIDSL_componente_2.csv,2,0.0
WIDSL,80,persistencia_WIDSL_componente_2.csv,80,persistencia_WIDSL_componente_5.csv,0,0.023735084
WIDSL,80,persistencia_WIDSL_componente_2.csv,80,persistencia_WIDSL_componente_5.csv,1,0.004425499
WIDSL,80,persistencia_WIDSL_componente_2.csv,80,persistencia_WIDSL_componente_5.csv,2,0.00023408514
WIDSL,80,persistencia_WIDSL_componente_2.csv,80,persistencia_WIDSL_componente_8.csv,0,0.009983316
WIDSL,80,persistencia_WIDSL_componente_2.csv,80,persistencia_WIDSL_componente_8.csv,1,0.004321382
WIDSL,80,persistencia_WIDSL_componente_2.csv,80,persistencia_WIDSL_componente_8.csv,2,0.00021330058
WIDSL,80,persistencia_WIDSL_componente_2.csv,90,persistencia_WIDSL_componente_4.csv,0,0.021833478
WIDSL,80,persistencia_WIDSL_componente_2.csv,90,persistencia_WIDSL_componente_4.csv,1,0.0042866822
WIDSL,80,persistencia_WIDSL_componente_2.csv,90,persistencia_WIDSL_componente_4.csv,2,0.00013628088
WIDSL,80,persistencia_WIDSL_componente_2.csv,90,persistencia_WIDSL_componente_2.csv,0,0.023226053
WIDSL,80,persistencia_WIDSL_componente_2.csv,90,persistencia_WIDSL_componente_2.csv,1,0.0043484694
WIDSL,80,persistencia_WIDSL_componente_2.csv,90,persistencia_WIDSL_componente_2.csv,2,0.00015102247
WIDSL,80,persistencia_WIDSL_componente_2.csv,90,persistencia_WIDSL_componente_5.csv,0,0.01374897
WIDSL,80,persistencia_WIDSL_componente_2.csv,90,persistencia_WIDSL_componente_5.csv,1,0.0043037916
WIDSL,80,persistencia_WIDSL_componente_2.csv,90,persistencia_WIDSL_componente_5.csv,2,0.00016294177
