ID,FAULT_TYPE,CODE LINE,TRANSFORMED CODE,FILE,UNIT TEST LOG,FUNCTIONAL TEST LOG,INTEGRATION TEST LOG,UNIT TEST RESULT,UNIT RATIO,FUNCTIONAL TEST RESULT,FUNCTIONAL TEST RATIO,INTEGRATION TEST RESULT,INTEGRATION TEST RATIO,UNIT TEST TOTAL RESULTS,FUNCTIONAL TEST TOTAL RESULTS,INTEGRATION TEST TOTAL RESULTS
141,MPFC,807,MPFC_807_transformed_code_141.py,resources/api.py,21022025132008_unit_result_807,21022025132008_functional_result_807,,True,0/0,True,0/0,False,NA,,,NA
142,MPFC,819,MPFC_819_transformed_code_142.py,resources/api.py,21022025132018_unit_result_819,21022025132018_functional_result_819,,True,0/0,True,0/0,False,NA,,,NA
143,MPFC,830,MPFC_830_transformed_code_143.py,resources/api.py,21022025132030_unit_result_830,21022025132030_functional_result_830,,True,0/0,True,0/0,False,NA,,,NA
144,MPFC,831,MPFC_831_transformed_code_144.py,resources/api.py,21022025132040_unit_result_831,21022025132040_functional_result_831,,True,0/0,True,0/0,False,NA,,,NA
145,MPFC,836,MPFC_836_transformed_code_145.py,resources/api.py,21022025132048_unit_result_836,21022025132048_functional_result_836,,True,0/0,True,0/0,False,NA,,,NA
146,MPFC,837,MPFC_837_transformed_code_146.py,resources/api.py,21022025132058_unit_result_837,21022025132058_functional_result_837,,True,0/0,True,0/0,False,NA,,,NA
147,MPFC,838,MPFC_838_transformed_code_147.py,resources/api.py,21022025132109_unit_result_838,21022025132109_functional_result_838,,True,0/0,True,0/0,False,NA,,,NA
148,MPFC,839,MPFC_839_transformed_code_148.py,resources/api.py,21022025132121_unit_result_839,21022025132121_functional_result_839,,True,0/0,True,0/0,False,NA,,,NA
149,MPFC,841,MPFC_841_transformed_code_149.py,resources/api.py,21022025132132_unit_result_841,21022025132132_functional_result_841,,True,0/0,True,0/0,False,NA,,,NA
150,MPFC,844,MPFC_844_transformed_code_150.py,resources/api.py,21022025132138_unit_result_844,21022025132138_functional_result_844,,True,0/0,True,0/0,False,NA,,,NA
151,MPFC,846,MPFC_846_transformed_code_151.py,resources/api.py,21022025132156_unit_result_846,21022025132156_functional_result_846,,True,0/0,True,0/0,False,NA,,,NA
