componente_id,nodo_id,num_puntos,prefijo_mayoritario,porcentaje
84,cube865_cluster0,57,WLEC,100.0
85,cube872_cluster0,56,WVIV,100.0
85,cube921_cluster0,58,WVIV,100.0
86,cube875_cluster0,56,WVIV,100.0
87,cube903_cluster0,60,WLEC,100.0
87,cube939_cluster0,61,WLEC,100.0
88,cube911_cluster0,13,MVIE,100.0
89,cube920_cluster0,56,WVIV,100.0
89,cube919_cluster0,57,WVIV,100.0
90,cube931_cluster0,37,MSFC,100.0
90,cube960_cluster0,54,MSFC,100.0
91,cube932_cluster0,56,WLEC,100.0
91,cube933_cluster0,56,WLEC,100.0
92,cube952_cluster0,64,MVIE,100.0
92,cube958_cluster0,57,MVIE,100.0
93,cube1042_cluster0,56,WLEC,100.0
93,cube999_cluster0,128,WLEC,100.0
93,cube1038_cluster0,243,WLEC,100.0
93,cube1075_cluster0,56,WLEC,100.0
93,cube1002_cluster0,67,WLEC,100.0
93,cube1001_cluster0,77,WLEC,100.0
93,cube1039_cluster0,295,WLEC,100.0
93,cube966_cluster0,64,WLEC,100.0
93,cube1076_cluster0,223,WLEC,100.0
93,cube1041_cluster0,168,WLEC,100.0
93,cube962_cluster0,64,WLEC,100.0
93,cube1037_cluster0,165,WLEC,100.0
93,cube998_cluster0,60,WLEC,100.0
94,cube964_cluster0,66,WLEC,100.0
95,cube989_cluster0,57,MVIE,100.0
95,cube1005_cluster0,109,MVIE,100.0
95,cube1006_cluster0,117,MVIE,100.0
95,cube1044_cluster0,152,MVIE,100.0
95,cube979_cluster0,130,MVIE,100.0
95,cube1078_cluster0,114,MVIE,100.0
95,cube980_cluster0,80,MVIE,100.0
95,cube1079_cluster0,228,MVIE,100.0
95,cube1049_cluster0,117,MVIE,100.0
95,cube1011_cluster0,233,MVIE,100.0
95,cube968_cluster0,57,MVIE,100.0
95,cube988_cluster0,177,MVIE,100.0
95,cube1023_cluster0,112,MVIE,100.0
95,cube1017_cluster0,234,MVIE,100.0
95,cube1054_cluster0,388,MVIE,100.0
95,cube1057_cluster0,56,MVIE,100.0
95,cube1018_cluster0,405,MVIE,100.0
95,cube1051_cluster0,57,MVIE,100.0
95,cube1013_cluster0,35,MVIE,100.0
95,cube1012_cluster0,280,MVIE,100.0
95,cube1050_cluster0,61,MVIE,100.0
95,cube1053_cluster0,59,MVIE,100.0
95,cube974_cluster0,67,MVIE,100.0
95,cube1019_cluster0,181,MVIE,100.0
95,cube1004_cluster0,58,MVIE,100.0
95,cube1084_cluster0,57,MVIE,100.0
95,cube969_cluster0,172,MVIE,100.0
